#Vbias			source resolution[keV]	error[keV]	pulser resolution[keV]		error[keV]		
15 				49.991 					0.54134 	45.280 						0.14304
20 				46.256 					0.46630 	40.076 						0.12302
25 				41.139 					0.47541 	37.269 						0.12494
30 				39.415 					0.45837 	35.122 						0.11716
35 				39.107 					0.41667 	33.821 						0.10774
40 				38.080 					0.38085 	32.411 						0.10088
45 				38.391 					0.39432 	31.425 						0.10400
50 				37.415 					0.35505 	30.760 						0.09408
55 				37.001 					0.36297 	30.148 						0.09737
60 				36.410 					0.38154 	29.652 						0.09732
63.3 			35.634 					0.36049 	29.171 						0.09646
