#Vbias[v]		risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
5				118.66 					1.27280		121.99 						1.01690
10 				81.278 	 				0.83794		80.015 						0.65293
15				60.367 					0.67314 	58.570 						0.49624
20 				52.314 					0.62023 	53.179 						0.44217
25 				54.307 					0.59678 	50.583 						0.42106
30  			49.071 					0.55340     48.410 						0.40940
35 				49.952 					0.50148 	46.763 						0.37337
40 				50.579 					0.54871 	46.465 						0.39390
45 				48.086 					0.51241 	44.950 						0.38599 	
50 				45.907 					0.50701 	44.357 						0.37737
55 				46.839 					0.48780 	43.584 						0.34990
60 				45.684 					0.49011 	43.350 						0.36020
