#Vbias			source resolution[keV]	error[keV]	pulser resolution[keV]		error[keV]		
5 				116.40 					0.34276 	99.309 						0.30734
10 				89.307 					0.25119 	63.920 						0.20004
15				70.126 					0.22821 	46.279 						0.14813
20 				69.880 					0.22517 	41.934 						0.13396
25 				66.559 					0.21901 	38.995 						0.12470
30 				66.416 					0.20587  	37.134 						0.11932
35 				61.701 					0.20945 	37.362 						0.41765
40				62.337 					0.20952     34.492 					    0.11208
45 				62.553 					0.20468     33.598 						0.10821
50 				60.726 					0.20484     32.858 						0.10739
55 				60.533 					0.20671     32.119 						0.10584
60 				64.074 					0.17143     32.562 						0.10615
63.4 			55.804 					0.18572 	31.282 						0.10279
