#tentativo 1
#Vbias[v]		risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
5 				116.40 					0.34276 	99.309 						0.30734
10 				89.307 					0.25119 	63.920 						0.20004
15				70.126 					0.22821 	46.279 						0.14813
20 				69.880 					0.22517 	41.934 						0.13396
25 				69.559 					0.21901 	38.995 						0.12470
30 				68.416 					0.20587  	37.134 						0.11932
35 				61.701 					0.20945 	37.362 						0.41765
40				62.337 					0.20952     34.492 					    0.11208
45 				64.553 					0.20468     33.598 						0.10821
50 				60.726 					0.20484     32.858 						0.10739
55 				60.533 					0.20671     32.119 						0.10584
60 				64.074 					0.17143     32.562 						0.10615
63.4 			55.804 					0.18572 	31.282 						0.10279

#tentativo 2
#Vbias			risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
5 				116.78					0.34241		99.325 						0.30770
10				86.794 					0.26051 	63.928 						0.19978
15				73.752 					0.21165     46.253 						0.14783
20 			    62.267 					0.22237 	41.891 						0.13366
25 				61.256					0.21889 	38.893 						0.12467
30 				65.383 					0.21093 	37.137 						0.11930
35 				72.477 					0.19038 	34.505 						0.23016
40				62.162 					0.21019     34.497 						0.11204
45 				63.954 					0.20567 	33.599 					    0.10827
50 				69.983 					0.20145     32.837 					    0.10723
55 				60.808 					0.19213     32.224 						0.10587
60 				64.132 					0.20318     32.554 						0.10626
63.4 			58.491 					0.20718     31.267 						0.10254

#tentativo 3
#Vbias			risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
5 				116.78 					0.32274		99.290 						0.30702
10				89.950 					0.24482 	63.921 						0.19997
15				70.672 					0.22790 	46.252 						0.14784
20 				62.268 					0.22237 	41.949 						0.13399
25 				66.806 					0.20259 	38.891 						0.12469
30 				66.719					0.20713 	37.157 						0.11939
35 				59.361 					0.20968 	35.385 						0.11390
40				62.466      			0.20874     34.488 						0.11194
45 				62.810 					0.20251     33.594 					    0.10813
50 				60.436 					0.20465     32.870 						0.10735
55 				60.209 					0.20627     32.206 						0.10573
60 				66.351 					0.20313     32.572 						0.10607
63.4 			61.386 					0.20556     31.265 						0.10245
