#Vbias			risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
5 				116.78					0.34241		99.325 						0.30770
10				86.794 					0.26051 	63.928 						0.19978
15				73.752 					0.21165     46.253 						0.14783
20 			    62.267 					0.22237 	41.891 						0.13366
25 				61.256					0.21889 	38.893 						0.12467
30 				65.383 					0.21093 	37.137 						0.11930
35 				72.477 					0.19038 	34.505 						0.23016
40				62.162 					0.21019     34.497 						0.11204
45 				63.954 					0.20567 	33.599 					    0.10827
50 				69.983 					0.20145     32.837 					    0.10723
55 				60.808 					0.19213     32.224 						0.10587
60 				64.132 					0.20318     32.554 						0.10626
63.4 			58.491 					0.20718     31.267 						0.10254
