#Vbias[v]		risoluzione sorgente 	errore 		risoluzione impulsatore 	errore
10				49.662					0.59189 	48.256 						0.14642		
15 				36.071 					0.38884 	30.365 						0.10128
20 				33.501 					0.35140 	27.529 						0.09292
25 				31.158					0.34873 	25.835 						0.08669
30 				31.379 					0.34467 	24.605 						0.08337
35 				30.399 					0.30874 	23.961 						0.08127
40 				30.547 					0.30463 	23.114 						0.07770
45 				29.291 					0.30520 	22.565 						0.07631
50 				28.847 					0.28684 	22.030 						0.07444
55 				29.576 					0.29111 	21.707 						0.07336
60 				28.693 					0.28432 	21.451 						0.07218
63.4 			28.402 					0.28025 	21.133 						0.07124
