#Vbias			source resolution[keV]	error[keV]	pulser resolution[keV]		error[keV]		
20 				34.152 					0.33615 	26.133						0.15334
25 				33.130 					0.30232 	25.339 						0.13486
30 				34.236 					0.31100 	26.035 						0.13961
35 				32.882 					0.35589 	25.319 						0.15174
40 				33.203 					0.32834 	24.859 						0.15161
45 				33.014 					0.32904 	24.736 						0.14707
50 				32.859 					0.29622 	24.462 						0.12764
55 				32.487 					0.30241 	24.021 						0.13834
60 				32.320 					0.31340 	23.666 						0.14125
63.3 			32.398 					0.29309 	23.699 						0.13225 				
